Zone ID,Load Zone,Month,Total Cost per MWh,,,
4004,CONNECTICUT,6/1/2016,8.8195,,,
4004,CONNECTICUT,7/1/2016,8.8195,,,
4004,CONNECTICUT,8/1/2016,8.8195,,,
4004,CONNECTICUT,9/1/2016,8.8195,,,
4004,CONNECTICUT,10/1/2016,8.8195,,,
4004,CONNECTICUT,11/1/2016,8.8195,,,
4004,CONNECTICUT,12/1/2016,8.8195,,,
4004,CONNECTICUT,1/1/2017,3.6415,,,
4004,CONNECTICUT,2/1/2017,3.336,,,
4004,CONNECTICUT,3/1/2017,3.336,,,
4004,CONNECTICUT,4/1/2017,3.336,,,
4004,CONNECTICUT,5/1/2017,3.336,,,
4004,CONNECTICUT,6/1/2017,3.336,,,
4004,CONNECTICUT,7/1/2017,3.336,,,
4004,CONNECTICUT,8/1/2017,3.336,,,
4004,CONNECTICUT,9/1/2017,3.336,,,
4004,CONNECTICUT,10/1/2017,3.336,,,
4004,CONNECTICUT,11/1/2017,3.336,,,
4004,CONNECTICUT,12/1/2017,3.336,,,
4004,CONNECTICUT,1/1/2018,3.971,,,
4004,CONNECTICUT,2/1/2018,3.991,,,
4004,CONNECTICUT,3/1/2018,3.991,,,
4004,CONNECTICUT,4/1/2018,3.991,,,
4004,CONNECTICUT,5/1/2018,3.991,,,
4004,CONNECTICUT,6/1/2018,3.991,,,
4004,CONNECTICUT,7/1/2018,3.991,,,
4004,CONNECTICUT,8/1/2018,3.991,,,
4004,CONNECTICUT,9/1/2018,3.991,,,
4004,CONNECTICUT,10/1/2018,3.991,,,
4004,CONNECTICUT,11/1/2018,3.991,,,
4004,CONNECTICUT,12/1/2018,3.991,,,
4004,CONNECTICUT,1/1/2019,4.3285,,,
4004,CONNECTICUT,2/1/2019,4.3485,,,
4004,CONNECTICUT,3/1/2019,4.3485,,,
4004,CONNECTICUT,4/1/2019,4.3485,,,
4004,CONNECTICUT,5/1/2019,4.3485,,,
4004,CONNECTICUT,6/1/2019,4.3485,,,
4004,CONNECTICUT,7/1/2019,4.3485,,,
4004,CONNECTICUT,8/1/2019,4.3485,,,
4004,CONNECTICUT,9/1/2019,4.3485,,,
4004,CONNECTICUT,10/1/2019,4.3485,,,
